SeriesId,Key,DisplayName,Stage1Id,Stage2Id,Stage3Id,Note
# ─────────────────────────────────────────────────────────────────────────────
# 血統「系列」表（表A）。一列 = 一個系列 = 三個階段。
#
# 這張表是「系列 ↔ 階段 ↔ 血統 Id」的唯一真相：
#   ・喝系列起始藥劑 → 得到 Stage1Id 那個血統。
#   ・喝血統進階藥劑（中階/高階）→ 沿著同一列往右走一格。
#   ・程式反查「某個血統 Id 屬於哪個系列、在第幾階」也是查這張表建出來的索引。
#
# ⚠ BloodlineTable.csv（表B）刻意「不存」SeriesId 與 Stage——兩張表都寫就會對不上。
#    表B 只負責「這個血統長什麼樣、數值多少」，隸屬關係一律在這裡。
#
# 新增一個系列：加一列 ＋ 在表B 補三列血統 ＋ 做一瓶系列起始藥劑（ItemTable 的 BloodlineID 指到 Stage1Id）。
# 進階藥劑是**全系列通用**的，不必為新系列另做。
#
# 欄位說明：
#   SeriesId    系列 Id（唯一）。
#   Key         程式用英文代號（除錯訊息用）。
#   DisplayName 玩家看得到的系列名。
#   Stage1~3Id  三個階段各自的血統 Id，對應 BloodlineTable.csv 的 Id。
#               ⚠ 血統 Id 慣例：一個系列吃一個十位段（殭屍 10~12、下一個系列 20~22…），
#                 Id 1 保留給「人類」（沒有系列，是所有人的起點）。
#   Note        備註（程式不讀）。
# ─────────────────────────────────────────────────────────────────────────────
1,Jiangshi,殭屍,10,11,12,殭屍系列：殭屍 → 毛殭 → 旱魃
2,Bloodborn,血族,20,21,22,血族系列：覓血者 → 血伯爵 → 該隱
3,Feralborn,狂族,30,31,32,狂族系列：狼人 → 望月者 → 芬里爾
