Id,Key,DisplayName,SpriteFolder,BodyScale,WalkSpeed,Strength,Agility,Magic,Vitality,SkillId,Note,AuraVfxId,HaloStyle,HaloColor,TrailStyle,TrailColor,TrailVfxId,OrbitVfxId
# ─────────────────────────────────────────────────────────────────────────────,,,,,,,,,,,,,,,,,,
# 血統表（表B）。一列 = 一種血統（= 某個系列的某一階，或「人類」）。,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# 血統藥劑（ItemTable 的 BloodlineID 欄）指到這裡的 Id。,,,,,,,,,,,,,,,,,,
# 「這個血統屬於哪個系列、在第幾階」查 BloodlineSeriesTable.csv（表A），這裡不重複記。,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# ⚠⚠ 五個屬性裡目前只有 WalkSpeed 會套用，其餘四個「只存數值、完全不套用」⚠⚠,,,,,,,,,,,,,,,,,,
#    遊戲裡還沒有角色屬性系統（力量/敏捷/魔力/體力 沒有任何一處會讀它們），,,,,,,,,,,,,,,,,,,
#    這些數字純粹是先把管線接通、讓「表A 查得到表B 的數值」這條路可用。,,,,,,,,,,,,,,,,,,
#    數值本身是佔位用的概念值，之後屬性系統做好再一起校平衡。,,,,,,,,,,,,,,,,,,
#    → 現階段換血統，遊戲體感上**只有外型與立繪會變**，戰力完全不變，這是預期行為。,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#    （舊版這裡有 MaxHpAdd / MoveSpeedMul / OutgoingDamageBonusPercent 三個會真的生效的欄位，,,,,,,,,,,,,,,,,,,
#      那也是沒實裝屬性系統時的權宜概念，已於 2026-08-18 移除，避免兩套數值打架。）,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# 欄位說明：,,,,,,,,,,,,,,,,,,
#   Id            血統 Id（唯一）。1 固定保留給「人類（初始外型）」。,,,,,,,,,,,,,,,,,,
#                 系列成員的 Id 慣例見表A：一個系列一個十位段。,,,,,,,,,,,,,,,,,,
#   Key           程式用英文代號（除錯訊息用）。,,,,,,,,,,,,,,,,,,
#   DisplayName   玩家看得到的名字。,,,,,,,,,,,,,,,,,,
#   BodyScale     體型倍率（以人類 Base 為 1）。留空/≤0 = 1。,,,,,,,,,,,,,,,,,,
#                 ⚠ 這一欄是**純視覺**的：它只改「角色圖畫多大」（PlayerController.CharacterWorldHeight,,,,,,,,,,,,,,,,,,
#                   乘上它，再交給 PlayerAnimator 換算每張圖的縮放），**不動碰撞框、不動任何數值**。,,,,,,,,,,,,,,,,,,
#                 為什麼需要它：引擎本來就會把每個血統的 idle 可見高度正規化成同一個世界高度，,,,,,,,,,,,,,,,,,,
#                   所以四組素材「量出來」其實高度差不多（Base 193px / 殭屍 174 / 毛殭 197 / 旱魃 175）；,,,,,,,,,,,,,,,,,,
#                   但正規化只看高度不看體積與姿勢，瘦長挺立的圖看起來就是比橫向壯碩的圖小一號。,,,,,,,,,,,,,,,,,,
#                   這一欄就是拿來「用眼睛校正」那個落差的，調到看順眼為止即可。,,,,,,,,,,,,,,,,,,
#                 變身演出的煙霧與電弧會自動跟著這個倍率放大（取變身前後較大的那一個），不必另外調。,,,,,,,,,,,,,,,,,,
#   SpriteFolder  外型資料夾「相對路徑」（2026-09-09 起依系列分一層，例 Feralborn/Werewolf；Base 仍在根層），,,,,,,,,,,,,,,,,,,
#                 同時決定兩件事：,,,,,,,,,,,,,,,,,,
