ID,ImagePath,Text,Type,TalkGroup
1,Modules/RedBridalGown/Drama/drama_groupPhoto,一張和樂融融的全家福相片,1,
2,,跟紅嫁衣的對話，生氣玩家殺害家人,2,1
3,,初始遊戲跟邪佛的對話，給予紅嫁衣劇本,2,2
4,,初始遊戲剛出洞窟跟邪佛的對話,2,3
5,,初始遊戲跟邪佛的對話，要求穿過傳送門,2,4
6,,主角在初始洞窟醒來時,2,5
7,,跟紅嫁衣的對話，感謝玩家沒有殺害家人,2,6
8,,榕樹妖關卡的進場對話,2,7
9,,紅嫁衣被打敗的對話,2,8
10,,榕樹妖被打敗的對話,2,9
11,,紅嫁衣恢復的過程對話,2,10
12,,主角初始劇情，剛進山的台詞,2,11
13,,主角初始劇情，剛遇到一家人的台詞,2,12
14,,主角初始劇情，靠在柵欄邊休息,2,13
15,,主角初始劇情，掉下去的尖叫,2,14
16,,主角初始劇情，剛進山之前的呢喃,2,15
17,,主角初始劇情，小女孩要掉下去的喊叫,2,16
18,,主角初始劇情，主角要救小女孩前的大喊,2,17
19,,主角初始劇情，主角救小女孩後的對話,2,18
20,,紅嫁衣柴房佛燈拾取的新手教學對話,2,19
21,,紅嫁衣儲藏室拾取hp藥水的新手教學對話,2,20
22,Modules/RedBridalGown/Drama/drama_Talisman,盒子上寫:\n此乃封靈符，用於鎮三魂，攝七魄，使魂魄不得離竅。然陰氣久滯於身，血脈漸凝，肌骨亦隨之屍化。若及時揭去符籙，魂氣復行，屍變自解。,1,
23,,邪佛廣場NPC測試對話,2,21
24,,血族接待員-對待同族,2,22
25,,狂族接待員-對待同族,2,23
26,,血族接待員-對待該隱,2,24
27,,狂族接待員-對待芬里爾,2,25
28,,人族接待員,2,26
29,,主角進紅嫁衣房間前,2,27
30,Modules/RedBridalGown/Drama/drama_Letter,信上寫:\n愛女芙蓉見字如面。近來闔家多病，形神日削，延醫數回，竟莫知其故。祖父母尤甚，氣息漸微，惟念汝歸。汝素承二老鍾愛，若能早返完婚，慰其暮年，或可藉喜氣解厄。父母念汝甚切，惟盼汝平安早歸。,1,
31,,新手夢境教學開頭,2,28
32,,新手夢境教學-旱魃,2,29
33,,新手夢境教學-該隱,2,30
34,,新手夢境教學-芬里爾,2,31
35,,新手夢境教學-泰坦,2,32
36,,新手夢境教學-化神期,2,33
37,,新手夢境教學-應龍,2,34
38,,新手夢境教學-尼德霍格,2,35
39,,新手夢境教學-蟲皇,2,36
40,,新手夢境教學-初始洞窟對話,2,37
41,,新手夢境教學-初入邪佛廣場對話,2,38
42,,新手夢境教學-邪佛廣場打完小怪後對話,2,39
43,,新手夢境教學-邪佛廣場被佛掌擊中之前,2,40
