ID,Name,Category,EquipSlot,IconPath,MaxStack,Description,TipStats,TipLore,WeaponID,TargetMapId,TargetEntrance,HealHp,HealMp,LightRadius,BloodlineID,GemID,BloodlineUpgrade
1,三分裂追蹤飛劍,Weapon,Weapon,UI/Icons/Equipment/weapon_sword,1,飛劍,傷害 1　發射時三分裂、會追蹤敵人,三道寒光鎖魂，避無可避。,1,,,,
2,五分裂反彈彎刀,Weapon,Weapon,UI/Icons/Equipment/weapon_scimitar,1,彎刀,傷害 2　五分裂散射、撞牆反彈,刀光亂舞，連牆角的影子都不放過。,2,,,,
3,火焰環繞彈,Weapon,Weapon,UI/Icons/Equipment/weapon_skullStaff,1,骷髏權杖,傷害 2　召出環繞自身的火焰彈,權杖低語，亡者之火繞身而行。,3,,,,
4,火焰拋擲彈,Weapon,Weapon,UI/Icons/Equipment/weapon_bomb,1,炸彈,傷害 5　拋物線投擲、落地引爆火海,拋出去那一刻，記得別回頭看。,4,,,,
5,雷射追蹤光束,Weapon,Weapon,UI/Icons/Equipment/weapon_bronzeMirror,1,銅鏡,傷害 1／跳　持續光束、自動追敵,古鏡映人，照出的卻不是你的臉。,5,,,,
6,地裂刺,Weapon,Weapon,UI/Icons/Equipment/weapon_serpentSpear,1,蛇矛,傷害 3　地面竄出尖刺、穿透成列,矛尖一震，大地如活物般翻裂。,6,,,,
7,火焰噴射器,Weapon,Weapon,UI/Icons/Equipment/weapon_skullHorn,1,骷髏號角,傷害 2／跳　持續噴吐烈焰,號角齊鳴，群骷髏吐出地獄之息。,7,,,,
8,佛光,Weapon,Weapon,UI/Icons/Equipment/weapon_sacredLamp,1,古燈,傷害 1　籠罩己身的光環、灼傷近敵,燈火不滅，照處邪祟自焚。,8,,,,,3.5
9,連鎖閃電,Weapon,Weapon,UI/Icons/Equipment/weapon_whip,1,鞭子,傷害 3　命中後在敵間逐跳連鎖,鞭梢撕裂空氣，雷光順勢而走。,9,,,,
11,蜂巢,Weapon,Weapon,UI/Icons/Equipment/weapon_honeyComb,1,蜂巢,傷害 2　命中後迸出追蹤蜜蜂,打碎它，憤怒便傾巢而出。,11,,,,
12,蜜蜂,Weapon,Weapon,UI/Icons/Equipment/weapon_bee,1,蜜蜂,傷害 1　成群追擊的蜜蜂,嗡嗡聲逼近時，已經太遲了。,12,,,,
13,御靈水晶,Weapon,Weapon,Weapon/single/weapon_crystal,1,御靈水晶,傷害 1　召喚御靈協戰,靈石一握，喚亡者為兵。,13,,,,
21,血月鬼爪,Weapon,Weapon,VfxEffects/BloodClaw/BloodClaw_01,1,血月鬼爪,傷害 8　近身扇形撕裂,月赤之夜，指甲比刀先抵達咽喉。,21,,,,
22,虛空吞口,Weapon,Weapon,GroundEffect/VoidMaw/VoidMaw_01,1,虛空吞口,傷害 2／跳　定點持續吞噬,裂口不追人，只等萬物自己墜入。,22,,,,
24,九霄雷獄,Weapon,Weapon,VfxEffects/SkyLightningColumn/Loop/Loop_01,1,九霄雷獄,傷害 8　畫面外雷首＋等寬循環雷身直貫地面，命中爆炸,雷貫九霄而下，天地只剩一線白光。,24,,,,
25,幽影突,Weapon,Weapon,VfxEffects/GhostDash/GhostDash_01,1,幽影突,傷害 7　向瞄準方向突進斬擊,影子仍留原地，刀鋒已在五步之外。,25,,,,
27,冰封法陣,Weapon,Weapon,GroundEffect/IcePrison/IcePrison_01,1,冰封法陣,傷害 2.5／跳　定點冰獄,寒氣結界閉合之時，連聲音也被凍住。,27,,,,
28,死字咒,Weapon,Weapon,GroundEffect/DeathSeal/DeathSeal_01,1,死字咒,傷害 12　定點一次處決法印,一字既成，生者名冊便少了一筆。,28,,,,
29,鏡界折光,Weapon,Weapon,VfxEffects/PixelLaserA_Blue/Origin/Origin_01,1,鏡界折光,傷害 2／跳　無限延伸並在牆面持續反射,鏡光一出，萬壁皆成它的下一面鏡子。,29,,,,
30,三連飛劍,Weapon,Weapon,UI/Icons/Equipment/weapon_sword,1,飛劍,傷害 1　扣一次扳機連射三發,一劍未落，二劍已至。,30,,,,
101,銅錢,Currency,None,UI/Icons/Items/item_copperCoins,999,可交易的銅錢,通用貨幣　可於商店交易,串錢的紅繩早已褪色，銅錢卻被摩挲得發亮。,,,,,
102,卷軸,Material,None,UI/Icons/Items/item_reel,99,神秘的卷軸,合成材料,紙頁泛黃，唯一能辨認的是一個「歸」字。,,,,,
103,符紙,Consumable,None,UI/Icons/Items/item_talismanPaper,99,驅邪的符紙,消耗品　使用後短暫驅邪,貼上門楣的第七夜，符紙無火自燃。,,,,,
104,劇本-紅嫁衣,Consumable,None,UI/Icons/Items/scripts/Script_RedBridalGown,1,劇本,邪佛給你的劇本,一夜之間，風雲變色,1,1,,,
301,血統藥劑・殭屍,Bloodline,None,UI/Icons/Items/positions/bloodline/bloodline_Jiangshi,1,一次性的血統藥劑,喝下覺醒「殭屍」血脈　本世不可更改系列,屍氣自瓶口漫出。喝下去的那一刻，就再也回不去了。,,,,,,,10
302,血統藥劑・夜裔,Bloodline,None,UI/Icons/Items/positions/bloodline/bloodline_Nightborn,1,一次性的血統藥劑,喝下覺醒「夜裔」血脈　本世不可更改系列,初嘗是鐵鏽，回甘是長夜。喝下去的那一刻，太陽就與你無關了。,,,,,,,20
310,血統進階藥劑・中階,Bloodline,None,UI/Icons/Items/positions/bloodline/bloodline_lvup_middle,9,推進血脈至第二階,把目前的血脈推進到第二階　需先覺醒血脈,濃稠得幾乎不流動。血在裡面，還記得自己曾經是誰。,,,,,,,,,2
311,血統進階藥劑・高階,Bloodline,None,UI/Icons/Items/positions/bloodline/bloodline_lvup_high,9,推進血脈至第三階,把目前的血脈推進到第三階　需先進階至第二階,瓶身冰得燙手。再往下一步，就不是人能回頭的地方了。,,,,,,,,,3
201,小回血瓶,Potion,None,UI/Icons/Items/positions/item_hpPosition_s,99,回復少量生命,回復生命 10,飲下一口，暖流自喉頭漫入四肢。,,,,10,0
202,小回魔瓶,Potion,None,UI/Icons/Items/positions/item_mpPosition_s,99,回復少量魔力,回復魔力 10,吞一口冷冽，識海重新泛起微光。,,,,0,10
401,反彈珠,Gem,None,,1,能力珠・反彈,鑲進裝備的孔位　賦予子彈「撞牆反彈」,石心有一道摺痕，光走到那裡就會轉彎。,,,,,,,,1
402,穿透珠,Gem,None,,1,能力珠・穿透,鑲進裝備的孔位　賦予子彈「穿透敵人」,磨得極薄，薄到能從人與人之間穿過去。,,,,,,,,2
403,迅捷珠,Gem,None,,1,能力珠・迅捷,鑲進裝備的孔位　提升子彈飛行速度,握在手裡是涼的，鬆手那一瞬卻燙。,,,,,,,,3
404,銳利珠,Gem,None,,1,能力珠・銳利,鑲進裝備的孔位　提升武器傷害,稜角從未被時間磨圓，反而更利了。,,,,,,,,4
405,追蹤珠,Gem,None,,1,能力珠・追蹤,鑲進裝備的孔位　賦予子彈「追蹤敵人」,它總是朝著某個方向微微偏轉，那裡有活物。,,,,,,,,5
406,分裂珠,Gem,None,,1,能力珠・分裂,鑲進裝備的孔位　增加分裂／散射數量,裂了，但每一塊都還在自己發著光。,,,,,,,,6
407,須彌珠,Gem,None,,1,能力珠・須彌,鑲進裝備的孔位　放大範圍,越看越覺得它其實比你的手還大。,,,,,,,,7
408,疾發珠,Gem,None,,1,能力珠・疾發,鑲進裝備的孔位　縮短發射間隔,心跳聲貼著它，越跳越快。,,,,,,,,8
409,綿延珠,Gem,None,,1,能力珠・綿延,鑲進裝備的孔位　延長子彈存活時間,光走得比你以為的還遠一些。,,,,,,,,9
410,遠射珠,Gem,None,,1,能力珠・遠射,鑲進裝備的孔位　增加射程,隔著一整條街，它還是聽得見你。,,,,,,,,10
411,廣角珠,Gem,None,,1,能力珠・廣角,鑲進裝備的孔位　擴大散射扇形角度,越張越開，像一把收不回來的扇。,,,,,,,,11
412,群環珠,Gem,None,,1,能力珠・群環,鑲進裝備的孔位　增加環繞子彈數量,一顆繞著另一顆，數也數不清。,,,,,,,,12
413,環距珠,Gem,None,,1,能力珠・環距,鑲進裝備的孔位　擴大環繞半徑,離得越遠，繞得越穩。,,,,,,,,13
414,頻擊珠,Gem,None,,1,能力珠・頻擊,鑲進裝備的孔位　加密雷射傷害節拍,一下，一下，一下，沒有間隙。,,,,,,,,14
415,連鎖珠,Gem,None,,1,能力珠・連鎖,鑲進裝備的孔位　增加連鎖跳躍次數,碰到一個，就想起下一個。,,,,,,,,15
416,引雷珠,Gem,None,,1,能力珠・引雷,鑲進裝備的孔位　擴大連鎖搜尋範圍,雷從不迷路，只是有時走得遠。,,,,,,,,16
417,鎖敵珠,Gem,None,,1,能力珠・鎖敵,鑲進裝備的孔位　放寬連鎖首段鎖定角度,不必瞄準，它自己會找到。,,,,,,,,17
418,吸落珠,Gem,None,,1,能力珠・吸落,鑲進裝備的孔位　擴大落雷吸附範圍,天上的東西，總是落在該落的地方。,,,,,,,,18
419,群召珠,Gem,None,,1,能力珠・群召,鑲進裝備的孔位　增加每次召喚數量,喚一聲，來的不只一個。,,,,,,,,19
420,眾生珠,Gem,None,,1,能力珠・眾生,鑲進裝備的孔位　提高召喚物同時存在上限,來者不拒，去者不留。,,,,,,,,20
421,廣刃珠,Gem,None,,1,能力珠・廣刃,鑲進裝備的孔位　擴大近戰揮砍角度,刀風掃過的地方比刀長得多。,,,,,,,,21
422,長驅珠,Gem,None,,1,能力珠・長驅,鑲進裝備的孔位　增加突進距離,一步跨出去，回頭已看不見起點。,,,,,,,,22
423,聚氣珠,Gem,None,,1,能力珠・聚氣,鑲進裝備的孔位　縮短集氣時間,屏息的那一瞬，比誰都短。,,,,,,,,23
424,省魔珠,Gem,None,,1,能力珠・省魔,鑲進裝備的孔位　降低耗魔,省下來的，都存在石心裡。,,,,,,,,24
425,粗束珠,Gem,None,,1,能力珠・粗束,鑲進裝備的孔位　加粗光束,光也有重量，這一道特別沉。,,,,,,,,25
426,連擊珠,Gem,None,,1,能力珠・連擊,鑲進裝備的孔位　扣一次扳機多射一發,一聲之後，總還有一聲。,,,,,,,,26
501,護身符・金剛,Armor,Amulet,UI/Icons/Equipment/weapon_bronzeMirror,1,測試用護身符,鑲嵌用裝備　驗證跨裝備能力疊加,鏡面朝內，照的是自己的心魔。,,,,,,
502,戒指・流光,Armor,Ring,UI/Icons/Equipment/weapon_talisman,1,測試用戒指,鑲嵌用裝備　驗證跨裝備能力疊加,環上有一圈磨損，像被誰戴了很久很久。,,,,,,
