ID, Name , HP, BrainType, Weapon , Scale, PrefabPath, InvincibleTimeMs, KnockbackThreshold, KnockbackPercent, ContactDamage, DamageReduction, Speed, AnimFPS, AttackInterval(接觸攻擊間隔秒/攻速/越小攻越快/空為0.5), DetectionRange, DisplayName(顯示名/boss開戰資訊用/空退回Name), PortraitPath(頭像立繪catalog id/例Modules/關卡/Talk/xxx), 句子1(格式:文字/或 N%:文字=血量剩N%才會講), 句子2, 句子3, 句子4, Faction(陣營/空=Enemy/可填:Werewolf狼人/Vampire吸血鬼/Neutral中立),IdleScale(idle 顯示倍率/留空=自動依可見高對齊/手填會覆寫自動),WalkScale(walk 顯示倍率/同上),AttackScale(attack 顯示倍率/同上/pant 沿用 idle 的),JumpScale(jump 顯示倍率/留空=沿用 IdleScale 不做自動高度對齊/理由見 BOSS_MODULE §9.7),LeapDamage(跳躍踐踏傷害/僅BrainType=LeapSlam用/空=接觸傷害x2),LeapRadius(踐踏殺傷半徑世界單位/空=1.6/裂痕視覺為此x1.47),AttackHitFrame(揮舞型近戰的命中幀/attack第幾張是武器揮到位/空=張數x0.7粗估/務必逐怪量),ReleaseFrame(射手型放彈幀/attack第幾張是「武器已舉定可以射」/僅BrainType=Archer用/空=14/幀號即事件所以改AnimFPS時機自動跟著對),BombDamage(自爆傷害/僅BrainType=SuicideBomb用/空=ContactDamage x3),BombRadius(自爆殺傷半徑世界單位/空=1.8/⚠實際殺傷=此值+目標碰撞框半徑(玩家約0.5)),BombFuse(引信秒數/貼近後站定閃爍幾秒才爆/空=0.6/進了引信就一定會爆)
 1, ZhaYu, 10, Chase    , Contact,1.2,           ,                0,                  3,               20, 10,               0,     1,       9,,25,,,我要殺了你~~,哈哈哈，你怕了吧~~,30%: 你真的惹怒我了,10%: 不要逼我使出大絕招!,,,,,,,,,,,,
2, Ghost_Boy, 3, Chase    , Contact,0.7,           ,                0,1,120, 10,               0,     1,       8,,25,,,大哥哥陪我玩,嗚嗚，我好怕喔,不要，我不要,爹，娘救命啊,,,,,,,,,,,,
3,Ghost_Dog, 3, Chase    , Contact,0.4,           ,                0,1,120, 10,               0,2,       8,,25,,,,,,,,,,,,,,,,,,
4,Ghost_FatBoy, 3, Chase    , Contact,0.7,           ,                0,1,120, 10,               0,     1,       8,,25,,,大哥哥陪我玩,嗚嗚，我好怕喔,不要，我不要,爹，娘救命啊,,,,,,,,,,,,
5,Ghost_Father, 3, Chase    , Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,大俠，快離開,老朽，老朽也不願意,我可憐的女兒啊,,,,,,,,,,,,,
6,Ghost_FatMan, 3, Chase    , Contact,1.1,           ,                0,1,120, 10,               0,     1,       8,,25,,,不，不要殺我,滾出去,為什麼是我??,,,,,,,,,,,,,
7,Ghost_Girl, 3, Chase    , Contact,0.7,           ,                0,1,120, 10,               0,     1,       8,,25,,,大哥哥陪我玩,嗚嗚，我好怕喔,不要，我不要,爹，娘救命啊,,,,,,,,,,,,
8,Ghost_GrandMa, 3, Chase    , Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,嗚嗚嗚,老身真的好苦啊,請幫幫我孫女,,,,,,,,,,,,,
9,Ghost_GrandPa, 3, Chase    , Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,一夕之間，家破人亡,我好怨啊,我可憐的孫女,,,,,,,,,,,,,
10,Ghost_Mother, 3, Chase    , Contact,1,           ,                0,1,120, 10,               0,     1,       8,,25,,,我的乖女兒,寶貝，娘好想妳,求你救救我女兒,,,,,,,,,,,,,
