ID(武器唯一識別碼/與ItemTable同號),Name(武器名稱/只給人看),Damage(傷害/Laser為每次DOT/Summon不用),RecipeID(對應配方表的ID),ManaCost(耗魔/離散每發/Laser與Aura每秒/空1),WeaponSpritePath(子彈圖路徑/相對Resources不含副檔名/與WeaponAniPath二擇一/留空=隱形子彈),SpriteAngleOffset(圖片角度補正度/攻擊端朝右為0),WeaponAniPath(序列圖路徑前綴/有值時忽略WeaponSpritePath),WeaponAniNumber(序列圖張數),AnimFPS(序列圖幀率),BulletScale(子彈縮放/空1),BeamStyle(雷射種類1鏡光2標準3脈衝4離子5電漿6虛線7閃電8針狀9洪流10微光/空2),BeamColor(雷射顏色1紅2橙3黃4綠5青6藍7紫8洋紅9白10琥珀金/空9),BeamWidth(雷射粗細/視覺與命中共用/空0.5),PixelBeamSet(像素雷射素材組/空=shader/A_Blue),FireEffectID(發射特效/玩家身上播),HitEffectID(擊中特效/命中點播),TrailEffectID(軌跡特效/配合配方TrailStep沿路種),SummonEffectID(召喚特效/每個生怪點播一次)
# ── 通用：ID / Name / Damage / RecipeID / ManaCost,,,,,,,,,,,,,,,,,,
# ── 子彈外觀 Normal/Orbital/Parabolic：WeaponSpritePath / SpriteAngleOffset / WeaponAniPath / WeaponAniNumber / AnimFPS / BulletScale,,,,,,,,,,,,,,,,,,
# ── 光束外觀 Laser/Chain/SkyStrike：BeamStyle / BeamColor / BeamWidth / PixelBeamSet,,,,,,,,,,,,,,,,,,
# ── 特效 ID（VfxTable）：FireEffectID / HitEffectID / TrailEffectID / SummonEffectID,,,,,,,,,,,,,,,,,,
1,3分裂追蹤飛劍,1,8,1,Weapon/single/weapon_sword,135,,,,,,,,,,2,,
2,5分裂反彈彎刀,2,5,1,Weapon/single/weapon_scimitar,0,,,,,,,,,,,,
3,火焰環繞彈,2,9,1,,0,Weapon/animation/fire/fire,6,12,5,,,,,,,,
4,火焰拋擲彈,5,12,1,Weapon/single/weapon_bomb,0,,,,2,,,,,,1,,
5,雷射追蹤光束,1,17,1,,0,,,,,8,5,1,,,,,
6,地裂刺,3,19,1,,0,,,,,,,,,,,3,
7,火焰噴射器,2,20,1,,0,,,,,,,1.2,,,,4,
8,佛光,1,21,1,,0,,,,,,,,,,,,
9,連鎖閃電,3,22,1,,0,,,,,7,9,0.25,,,,,
11,蜂巢,2,24,1,Weapon/single/weapon_honeyComb,0,,,,4.2,,,,,,,,
12,蜜蜂,1,25,1,Weapon/single/weapon_bee,-47,,,,3,,,,,,,,
13,御靈水晶,1,27,1,Weapon/single/weapon_crystal,0,,,,,,,,,,,,10
14,紅嫁衣召喚家人,0,26,1,,0,,,,,,,,,,,,10
21,血月鬼爪,8,34,2.5,,0,,,,,,,,,,22,,
22,虛空吞口,2,35,4,,0,,,,,,,,,,,,
24,九霄雷獄,8,37,5,,0,,,,,,,,,,26,,
25,幽影突,7,38,3,,0,,,,,,,,,,23,,
27,冰封法陣,2.5,40,4,,0,,,,,,,,,,,,
28,死字咒,12,41,6,,0,,,,,,,,,,,,
29,鏡界折光,2,42,2,,0,,,,,,6,0.38,A_Blue,,,,
