ID,Name,Category,EquipSlot,IconPath,MaxStack,Description,TipStats,TipLore,WeaponID
1,三分裂追蹤飛劍,Weapon,Weapon,UI/Icons/Equipment/weapon_sword,1,飛劍,"傷害 1　發射時三分裂、會追蹤敵人","三道寒光鎖魂，避無可避。",1
2,五分裂反彈彎刀,Weapon,Weapon,UI/Icons/Equipment/weapon_scimitar,1,彎刀,"傷害 2　五分裂散射、撞牆反彈","刀光亂舞，連牆角的影子都不放過。",2
3,火焰環繞彈,Weapon,Weapon,UI/Icons/Equipment/weapon_skullStaff,1,骷髏權杖,"傷害 2　召出環繞自身的火焰彈","權杖低語，亡者之火繞身而行。",3
4,火焰拋擲彈,Weapon,Weapon,UI/Icons/Equipment/weapon_bomb,1,炸彈,"傷害 5　拋物線投擲、落地引爆火海","拋出去那一刻，記得別回頭看。",4
5,雷射追蹤光束,Weapon,Weapon,UI/Icons/Equipment/weapon_bronzeMirror,1,銅鏡,"傷害 1／跳　持續光束、自動追敵","古鏡映人，照出的卻不是你的臉。",5
6,地裂刺,Weapon,Weapon,UI/Icons/Equipment/weapon_serpentSpear,1,蛇矛,"傷害 3　地面竄出尖刺、穿透成列","矛尖一震，大地如活物般翻裂。",6
7,火焰噴射器,Weapon,Weapon,UI/Icons/Equipment/weapon_skullHorn,1,骷髏號角,"傷害 2／跳　持續噴吐烈焰","號角齊鳴，群骷髏吐出地獄之息。",7
8,佛光,Weapon,Weapon,UI/Icons/Equipment/weapon_sacredLamp,1,古燈,"傷害 1　籠罩己身的光環、灼傷近敵","燈火不滅，照處邪祟自焚。",8
9,連鎖閃電,Weapon,Weapon,UI/Icons/Equipment/weapon_whip,1,鞭子,"傷害 3　命中後在敵間逐跳連鎖","鞭梢撕裂空氣，雷光順勢而走。",9
10,天降雷擊,Weapon,Weapon,UI/Icons/Equipment/weapon_talisman,1,符咒,"傷害 8　自天而降、範圍轟擊","符成，天怒應聲而落。",10
11,蜂巢,Weapon,Weapon,UI/Icons/Equipment/weapon_honeyComb,1,蜂巢,"傷害 2　命中後迸出追蹤蜜蜂","打碎它，憤怒便傾巢而出。",11
12,蜜蜂,Weapon,Weapon,UI/Icons/Equipment/weapon_bee,1,蜜蜂,"傷害 1　成群追擊的蜜蜂","嗡嗡聲逼近時，已經太遲了。",12
101,銅錢,Currency,None,UI/Icons/Items/item_copperCoins,999,可交易的銅錢,"通用貨幣　可於商店交易","串錢的紅繩早已褪色，銅錢卻被摩挲得發亮。",
102,卷軸,Material,None,UI/Icons/Items/item_reel,99,神秘的卷軸,"合成材料","紙頁泛黃，唯一能辨認的是一個「歸」字。",
103,符紙,Consumable,None,UI/Icons/Items/item_talismanPaper,99,驅邪的符紙,"消耗品　使用後短暫驅邪","貼上門楣的第七夜，符紙無火自燃。",
